purchase_id,customer_id,service_plan_id,purchase_date,amount_paid,payment_method
99,656,4,2022-02-24,452.98,Cash
100,276,4,2023-09-12,105.83,Credit Card
101,988,2,2023-07-06,457.58,Bank Transfer
102,150,3,2022-07-18,119.49,Credit Card
103,452,1,2023-09-06,354.77,Cash
104,891,4,2021-12-28,452.69,PayPal
105,847,2,2024-05-31,51.66,Bank Transfer
106,981,3,2023-08-23,278.45,Bank Transfer
107,947,2,2021-08-04,288.63,Cash
108,204,3,2023-03-04,105.27,Cash
109,362,3,2021-01-22,404.61,PayPal
110,682,3,2024-10-22,268.25,PayPal
111,710,2,2021-03-30,442.22,Credit Card
112,757,3,2024-07-13,338.41,Credit Card
113,294,3,2021-06-05,322.12,PayPal
114,404,2,2022-08-05,362.63,Cash
115,40,3,2023-05-19,67.35,Bank Transfer
116,925,1,2020-08-05,92.72,Credit Card
117,395,2,2024-08-06,266.17,Cash
118,467,4,2022-03-08,400.47,Cash
119,140,4,2020-05-13,447.19,PayPal
120,929,1,2021-04-16,37.11,Bank Transfer
121,739,3,2024-09-25,175.01,Cash
122,586,1,2021-11-10,242.64,Bank Transfer
123,186,4,2021-02-15,392.39,Credit Card
124,242,3,2023-10-26,60.92,Credit Card
125,345,3,2021-04-18,478.89,Bank Transfer
126,340,2,2020-07-11,409.31,Cash
127,542,1,2021-04-17,285.28,Bank Transfer
128,911,3,2020-06-10,446.1,Credit Card
129,280,4,2023-10-07,386.94,PayPal
130,247,1,2024-11-04,135.33,Credit Card
131,442,2,2024-10-01,35,Credit Card
132,650,2,2020-12-10,163.87,Bank Transfer
133,335,2,2023-08-16,68.07,PayPal
134,38,3,2021-03-07,43.41,Bank Transfer
135,756,1,2024-09-26,186.43,Bank Transfer
136,717,2,2021-08-09,224.84,Bank Transfer
137,949,1,2024-02-04,107.59,Cash
138,980,2,2020-07-17,172.84,Bank Transfer
139,918,4,2022-10-09,318.81,Bank Transfer
140,159,1,2021-03-23,495.29,Cash
141,878,3,2022-09-07,324.61,PayPal
142,977,4,2024-11-11,498.85,PayPal
143,227,2,2024-06-19,369.22,PayPal
144,90,4,2022-06-21,91.81,PayPal
145,927,4,2024-01-18,20.45,Bank Transfer
146,787,1,2023-10-07,200.1,Credit Card
147,880,3,2021-09-01,53.7,PayPal
148,290,1,2023-05-10,217.52,Bank Transfer
149,96,1,2024-09-29,76.19,PayPal
150,208,2,2020-05-17,322.47,Credit Card
151,635,3,2024-08-09,44.92,PayPal
152,672,2,2020-10-19,323.55,Credit Card
153,398,4,2022-03-06,313.21,PayPal
154,576,1,2023-07-11,167.03,Cash
155,355,4,2020-06-11,279.97,Credit Card
156,490,1,2022-04-22,129.91,Cash
157,230,2,2020-07-02,100.51,Bank Transfer
158,565,2,2021-12-30,254.41,Credit Card
159,703,1,2021-09-06,130.1,Credit Card
160,783,2,2020-08-21,351.91,PayPal
161,751,1,2021-09-28,442.07,Cash
162,859,2,2020-02-27,250.59,PayPal
163,293,4,2023-09-12,61.07,Cash
164,216,2,2023-09-25,268.22,Cash
165,235,3,2022-07-11,342.95,Credit Card
166,833,3,2024-03-07,271.91,Cash
167,543,3,2024-01-28,251.07,Cash
168,8,2,2024-10-19,212.32,Credit Card
169,909,2,2021-01-25,161.49,Cash
170,988,2,2021-03-28,495.86,Credit Card
171,124,1,2023-06-07,247.42,Cash
172,629,1,2021-01-18,109.4,PayPal
173,965,3,2023-11-10,128.17,Cash
174,659,3,2023-02-20,476.64,Cash
175,276,2,2022-10-23,358.73,Credit Card
176,53,2,2021-07-04,47.09,Credit Card
177,238,2,2023-04-02,417.95,Bank Transfer
178,148,2,2021-07-08,192.31,Cash
179,812,4,2024-07-27,396.16,Credit Card
180,499,4,2021-02-28,263.68,PayPal
181,374,2,2022-02-10,69.59,Cash
182,169,3,2020-03-31,195.42,PayPal
183,223,2,2024-04-05,458.71,PayPal
184,376,1,2021-05-26,296.65,PayPal
185,639,3,2021-05-20,275.78,Credit Card
186,628,3,2022-01-17,166.63,Cash
187,759,4,2021-01-20,230.89,Cash
188,141,3,2021-12-13,10.83,Credit Card
189,785,2,2023-02-27,135.72,Credit Card
190,851,4,2023-07-10,368,Cash
191,277,2,2023-01-19,138.52,PayPal
192,111,4,2021-05-14,359.53,PayPal
193,598,4,2021-09-12,274.41,PayPal
194,638,4,2020-01-12,91.73,Credit Card
195,711,4,2023-03-10,351.8,Credit Card
196,175,3,2024-09-14,123.01,Bank Transfer
197,543,4,2023-05-09,173.11,Credit Card
198,902,2,2024-08-30,256.72,PayPal
199,794,1,2021-12-04,492.55,Credit Card
200,564,2,2020-06-01,148,Credit Card
201,816,1,2024-01-07,77.17,Bank Transfer
202,56,1,2023-10-14,484.17,Cash
203,899,1,2020-11-26,167.05,Credit Card
204,953,1,2020-01-11,14.35,Bank Transfer
205,908,4,2021-12-06,265.28,Bank Transfer
206,468,1,2022-01-08,208.99,PayPal
207,672,1,2024-10-13,90.61,Credit Card
208,439,3,2022-05-22,99.14,Credit Card
209,711,1,2023-01-21,39.47,Bank Transfer
210,555,4,2021-04-28,478.12,Cash
211,163,4,2024-06-11,175.49,Bank Transfer
212,995,1,2020-03-01,372.95,Bank Transfer
213,97,2,2023-03-25,218.19,PayPal
214,780,1,2020-02-04,427.95,Credit Card
215,909,1,2024-08-08,177.77,Bank Transfer
216,166,2,2021-06-13,202.8,PayPal
217,179,3,2024-01-24,410.7,Cash
218,861,4,2024-10-24,180.15,Cash
219,222,3,2023-05-27,274.3,PayPal
220,434,1,2021-02-10,471.38,Cash
221,187,2,2020-06-29,250.24,Bank Transfer
222,163,1,2022-11-13,14.89,PayPal
223,328,4,2024-03-06,240.34,Bank Transfer
224,848,4,2024-10-07,376.25,PayPal
225,976,3,2024-11-02,143.62,PayPal
226,725,1,2023-07-30,378.76,Bank Transfer
227,535,3,2022-07-24,420.58,Bank Transfer
228,809,4,2023-06-26,214.96,PayPal
229,173,2,2024-02-05,445.83,Cash
230,928,1,2023-12-26,88.15,PayPal
231,874,1,2020-02-09,266.88,Cash
232,335,2,2020-06-12,393.91,Credit Card
233,724,2,2023-12-26,390.24,Credit Card
234,102,2,2023-05-27,413.13,Bank Transfer
235,274,2,2020-03-15,114.02,PayPal
236,659,3,2023-06-11,357.7,Bank Transfer
237,307,3,2022-05-10,324.98,PayPal
238,954,4,2022-03-06,431.4,PayPal
239,445,3,2022-09-03,499.11,Credit Card
240,735,1,2020-01-28,369.26,PayPal
241,295,2,2023-10-13,34.7,Cash
242,395,3,2023-12-19,216.94,Credit Card
243,565,1,2023-04-02,131.89,Bank Transfer
244,577,4,2022-08-11,345.77,Credit Card
245,259,2,2024-11-06,156.45,Credit Card
246,706,1,2024-10-28,67.85,Bank Transfer
247,453,2,2022-09-18,159.47,Bank Transfer
248,111,2,2023-01-25,187.86,PayPal
249,102,2,2022-04-23,372.82,PayPal
250,155,3,2020-12-30,227.07,PayPal
251,221,1,2021-03-03,114.17,Credit Card
252,742,3,2020-02-23,304.91,Cash
253,803,2,2021-07-21,360.54,Cash
254,890,2,2020-09-26,204.14,Credit Card
255,243,2,2024-09-17,460.51,Credit Card
256,919,3,2024-12-26,113.76,Bank Transfer
257,82,2,2021-09-29,498.81,PayPal
258,59,3,2024-07-29,183.34,Cash
259,550,3,2022-09-17,361.34,Credit Card
260,845,4,2023-02-20,255.75,Cash
261,141,4,2022-12-26,81.51,PayPal
262,561,3,2024-03-08,330.24,Cash
263,928,2,2020-07-30,305.76,PayPal
264,11,1,2021-10-17,91.71,Bank Transfer
265,420,4,2021-12-19,318.7,Cash
266,579,2,2023-01-18,324.25,PayPal
267,275,4,2023-11-20,149.29,PayPal
268,958,4,2023-05-18,145.08,Bank Transfer
269,589,3,2021-02-28,412.92,Cash
270,210,3,2022-03-13,82.82,PayPal
271,621,2,2020-03-31,201.22,PayPal
272,708,2,2024-08-22,150.66,Credit Card
273,706,1,2020-06-20,89.96,PayPal
274,836,2,2021-01-22,373.04,PayPal
275,629,3,2022-11-14,362.14,Cash
276,962,4,2020-02-06,99.47,Cash
277,329,2,2023-06-23,21.74,Bank Transfer
278,799,1,2020-07-07,314.75,Bank Transfer
279,792,2,2022-07-08,138.62,PayPal
280,528,3,2021-01-15,179.09,Bank Transfer
281,574,3,2023-04-13,20.51,Credit Card
282,584,3,2023-05-14,199.31,PayPal
283,607,2,2023-08-02,31.04,Bank Transfer
284,881,2,2020-12-29,423.91,PayPal
285,152,3,2024-11-17,353.87,PayPal
286,730,2,2020-08-11,220.04,Credit Card
287,317,4,2022-06-20,261.04,PayPal
288,746,1,2021-07-06,454.84,Cash
289,910,4,2023-06-06,319.44,Bank Transfer
290,733,1,2020-06-20,278.78,Bank Transfer
291,856,1,2022-08-18,428.34,Cash
292,483,1,2021-12-08,12.93,Bank Transfer
293,188,2,2020-04-18,238.89,Credit Card
294,372,1,2020-08-26,108.75,Credit Card
295,222,3,2022-03-12,378.8,Credit Card
296,178,2,2020-06-27,437.43,Cash
297,294,3,2022-05-24,349.33,Credit Card
298,487,4,2020-08-09,467.41,Cash
299,660,2,2024-09-09,32.24,Credit Card
300,227,4,2022-10-08,176.07,Cash
301,668,2,2020-03-05,477.35,Cash
302,653,2,2024-07-07,219.59,PayPal
303,997,4,2022-12-19,205.64,PayPal
304,645,2,2022-04-30,116.95,Credit Card
305,303,2,2023-02-25,93.54,Cash
306,677,4,2020-12-14,148.97,Credit Card
307,11,3,2024-04-02,241.81,Cash
308,170,3,2020-07-07,357.13,Credit Card
309,660,2,2021-04-03,298.86,Credit Card
310,212,2,2021-08-05,468.3,Bank Transfer
311,118,2,2021-01-09,426.86,Bank Transfer
312,218,1,2020-08-15,270.61,Cash
313,744,4,2024-08-26,181.83,Credit Card
314,744,2,2023-09-27,147.2,Cash
315,971,1,2020-10-30,344.32,Credit Card
316,405,4,2023-03-20,303.04,Credit Card
317,513,4,2021-03-15,270.31,Credit Card
318,931,2,2024-02-06,252.66,Credit Card
319,284,4,2022-01-24,436.26,Bank Transfer
320,240,2,2022-09-20,168.4,Bank Transfer
321,575,1,2022-01-15,288.79,PayPal
322,881,2,2021-12-27,259.16,Cash
323,356,4,2021-12-01,284.3,PayPal
324,550,4,2024-02-18,447.35,Cash
325,193,2,2022-04-16,63.41,Bank Transfer
326,370,4,2021-09-19,302.34,Bank Transfer
327,227,4,2023-01-06,172.34,PayPal
328,852,3,2021-10-21,96.63,Cash
329,19,3,2020-08-16,310.15,Bank Transfer
330,430,1,2024-09-02,65.72,Credit Card
331,547,3,2022-09-06,333.18,Bank Transfer
332,222,3,2023-09-16,391.23,PayPal
333,765,3,2024-05-09,112.82,Cash
334,65,3,2021-06-19,480.29,PayPal
335,936,4,2022-06-16,415.13,Bank Transfer
336,331,2,2022-07-16,260.98,PayPal
337,522,1,2022-09-22,412.79,PayPal
338,153,3,2022-12-02,461.56,Cash
339,281,3,2024-01-07,408.98,PayPal
340,93,3,2023-12-06,360.96,PayPal
341,516,1,2024-09-11,210.19,Cash
342,860,4,2020-04-24,372.84,Credit Card
343,229,2,2024-05-29,181.79,Credit Card
344,114,4,2023-02-05,205.76,PayPal
345,869,3,2020-02-25,129.95,Cash
346,974,2,2023-07-08,332.39,Credit Card
347,66,2,2023-04-14,441.5,Bank Transfer
348,944,3,2023-09-11,164.31,Bank Transfer
349,787,4,2023-08-21,394.67,PayPal
350,418,3,2022-12-26,363.11,Cash
351,705,4,2021-11-24,285.85,Credit Card
352,360,2,2020-08-11,216.98,Cash
353,798,3,2021-12-25,94.66,Bank Transfer
354,351,4,2023-09-08,310.46,Cash
355,872,4,2020-01-23,100.62,Cash
356,791,4,2023-02-09,131.07,Credit Card
357,398,1,2024-06-23,366.58,Cash
358,598,1,2024-08-02,374.1,PayPal
359,50,3,2021-05-18,462.6,Credit Card
360,588,3,2020-01-14,232.46,PayPal
361,890,3,2021-03-12,334.03,Cash
362,808,4,2022-09-05,63.81,Bank Transfer
363,258,3,2021-05-07,432.11,Credit Card
364,970,2,2022-10-08,77.08,Cash
365,901,3,2023-02-11,167.49,Credit Card
366,236,3,2024-11-19,472.93,Bank Transfer
367,3,1,2020-02-12,107.19,Bank Transfer
368,532,3,2020-10-08,167.52,Bank Transfer
369,139,3,2023-11-18,222.61,Cash
370,877,3,2023-08-12,366.07,Cash
371,429,1,2020-06-28,102.25,Cash
372,936,4,2020-04-13,14.38,Credit Card
373,542,2,2024-12-22,464.99,Credit Card
374,678,4,2024-09-01,306.79,Cash
375,731,3,2023-11-13,10.52,Cash
376,715,4,2020-06-13,71.78,Cash
377,740,2,2021-04-16,287.15,Bank Transfer
378,527,4,2023-12-27,72.18,Credit Card
379,145,3,2021-06-14,21.31,Bank Transfer
380,379,4,2023-03-26,372.97,Credit Card
381,918,3,2021-09-14,99.99,Cash
382,757,4,2021-01-19,470.75,Credit Card
383,404,4,2024-12-17,436.47,Credit Card
384,985,2,2022-05-21,408.48,PayPal
385,955,3,2021-08-15,165.69,Cash
386,702,2,2023-12-01,418.63,Cash
387,656,3,2022-02-02,348.66,Credit Card
388,418,4,2022-03-11,363.16,Credit Card
389,457,2,2021-08-18,36.24,Cash
390,57,3,2023-02-16,109.28,Credit Card
391,35,1,2023-03-27,186.53,Bank Transfer
392,232,1,2021-01-05,372.24,Bank Transfer
393,602,4,2024-12-19,155.11,PayPal
394,846,3,2023-02-12,110.09,Cash
395,320,1,2020-03-27,216.1,PayPal
396,518,3,2022-12-25,248.21,PayPal
397,498,2,2024-01-17,143.87,Credit Card
398,636,4,2024-11-27,336.01,Bank Transfer
399,941,4,2022-11-04,88.73,Cash
400,900,3,2023-05-08,66.68,Credit Card
401,734,1,2020-11-29,486.94,Cash
402,987,3,2022-05-07,291.61,PayPal
403,861,2,2021-07-24,164.67,Credit Card
404,243,3,2024-08-25,244.99,Credit Card
405,811,3,2021-03-07,37.39,Credit Card
406,629,3,2020-06-19,189.43,PayPal
407,636,3,2024-09-28,180.85,Cash
408,566,1,2023-03-07,433.85,Credit Card
409,47,1,2023-12-16,19.76,Credit Card
410,790,2,2020-09-10,376.3,Credit Card
411,187,2,2024-05-26,469.58,PayPal
412,459,3,2021-08-23,184.08,PayPal
413,468,3,2023-06-22,251.48,Bank Transfer
414,236,3,2020-02-14,376.66,Bank Transfer
415,924,1,2020-01-26,223.2,PayPal
416,13,2,2020-06-30,39.15,Bank Transfer
417,956,2,2021-08-06,102.12,Cash
418,499,3,2022-10-17,82.7,Bank Transfer
419,579,3,2022-04-20,409.01,Bank Transfer
420,34,4,2024-08-12,425.16,Cash
421,944,2,2023-02-06,492.79,Cash
422,662,2,2023-02-20,92.9,Cash
423,498,4,2020-09-30,439.32,PayPal
424,254,4,2020-09-16,464.18,Bank Transfer
425,533,2,2023-01-18,305.86,Bank Transfer
426,386,1,2023-03-06,167.56,Credit Card
427,136,2,2023-05-13,175.31,Credit Card
428,539,1,2024-03-06,329.35,Bank Transfer
429,899,4,2023-08-05,189.53,Bank Transfer
430,628,4,2021-06-07,128.9,PayPal
431,379,1,2023-07-15,61.41,Bank Transfer
432,561,1,2024-10-20,426.19,PayPal
433,685,1,2021-05-21,198.04,Cash
434,922,2,2023-03-27,370.54,PayPal
435,920,2,2020-01-27,56.9,Bank Transfer
436,924,2,2024-11-24,36.97,Credit Card
437,359,3,2021-08-27,425.99,PayPal
438,302,3,2022-12-19,420.54,PayPal
439,481,4,2024-05-03,405.44,PayPal
440,742,1,2021-02-03,104.39,Cash
441,187,4,2020-01-27,316.96,Bank Transfer
442,509,2,2020-12-22,90.46,PayPal
443,357,4,2020-12-28,205.93,Cash
444,128,3,2021-01-21,135.88,Credit Card
445,474,2,2023-12-28,44.54,PayPal
446,360,4,2024-07-22,125.22,Bank Transfer
447,475,2,2024-02-10,428.45,Credit Card
448,110,4,2020-09-04,282.38,Cash
449,80,1,2023-02-23,239.3,Credit Card
450,413,3,2024-05-08,201.79,Cash
451,822,1,2023-07-11,191.99,Bank Transfer
452,731,4,2023-10-05,206.26,Credit Card
453,83,4,2024-10-27,128.81,Credit Card
454,225,1,2023-10-02,268.87,Bank Transfer
455,664,4,2023-06-04,335.31,PayPal
456,177,1,2020-08-16,229.07,Credit Card
457,666,3,2023-03-14,109.32,Cash
458,93,1,2023-02-06,332.88,Cash
459,252,1,2021-06-13,286.46,PayPal
460,838,4,2024-02-22,472.3,Bank Transfer
461,586,4,2020-04-23,27.4,Cash
462,977,3,2022-04-24,19.84,PayPal
463,887,4,2023-06-20,225.48,Credit Card
464,202,2,2024-07-09,457.03,Cash
465,527,2,2022-06-26,425.22,Bank Transfer
466,37,4,2020-03-26,122.03,PayPal
467,931,3,2021-03-20,148.33,PayPal
468,352,2,2022-01-05,14.74,Cash
469,634,3,2020-10-12,52.49,Bank Transfer
470,228,3,2020-05-25,298.81,Credit Card
471,256,1,2020-06-20,294.57,Credit Card
472,23,4,2024-06-14,414.93,Cash
473,239,1,2024-12-20,64.43,Credit Card
474,91,1,2023-05-04,18.59,PayPal
475,850,1,2024-06-05,436.46,Bank Transfer
476,260,3,2023-09-13,316.64,Credit Card
477,712,1,2020-05-20,423.51,Bank Transfer
478,971,3,2020-12-05,163.55,Cash
479,734,3,2024-01-03,232.75,PayPal
480,423,4,2024-01-12,127.29,PayPal
481,150,1,2023-01-10,467.21,Credit Card
482,356,1,2020-09-20,31.8,Cash
483,177,1,2020-04-05,314.94,Cash
484,532,1,2022-07-02,225.11,Cash
485,989,1,2021-08-28,485.52,PayPal
486,301,2,2021-12-24,254.33,PayPal
487,81,4,2023-02-11,367.48,Cash
488,481,1,2020-11-20,417.86,Credit Card
489,119,1,2021-01-24,275.2,Bank Transfer
490,816,1,2023-12-25,201.39,Bank Transfer
491,783,1,2022-08-13,464.56,Credit Card
492,605,2,2021-06-08,347.32,PayPal
493,435,3,2024-01-29,391.44,PayPal
494,72,1,2022-10-23,441.36,PayPal
495,35,3,2024-05-10,315.1,Cash
496,390,4,2023-03-09,179.79,Credit Card
497,759,3,2022-12-03,178.77,Bank Transfer
498,77,3,2020-04-14,345.19,PayPal
499,108,2,2021-07-01,334.52,PayPal
500,488,1,2021-07-28,138.25,Cash
501,964,3,2021-03-05,220.19,Credit Card
502,178,3,2020-06-29,458.13,Credit Card
503,971,3,2020-05-09,166.25,Bank Transfer
504,852,3,2024-05-31,492.78,PayPal
505,480,4,2022-01-18,415.2,Cash
506,633,2,2024-04-13,195.82,Cash
507,491,2,2022-07-05,476.62,PayPal
508,386,4,2021-12-19,81.07,PayPal
509,284,1,2022-06-16,397.54,Cash
510,961,2,2024-09-30,434,PayPal
511,253,3,2021-04-18,442.17,PayPal
512,146,3,2022-12-20,80.54,Credit Card
513,110,1,2020-10-27,162.02,Cash
514,250,4,2020-11-10,498.12,Credit Card
515,583,2,2020-09-01,338.24,Cash
516,213,3,2020-08-12,352.65,PayPal
517,509,1,2022-04-02,88.18,Cash
518,853,1,2021-08-27,83.81,Bank Transfer
519,367,2,2024-09-27,250.21,Bank Transfer
520,235,4,2023-06-26,381.81,Bank Transfer
521,68,2,2022-03-18,303.97,Cash
522,377,2,2024-02-07,292.08,Credit Card
523,152,1,2022-01-31,132.89,PayPal
524,841,3,2023-02-02,139.4,Cash
525,399,4,2021-06-23,446.38,Cash
526,729,3,2020-06-22,262.25,Bank Transfer
527,786,1,2021-03-21,214.71,Bank Transfer
528,413,3,2022-09-10,150.81,PayPal
529,937,3,2023-11-13,151.68,Credit Card
530,951,2,2024-04-26,333.67,Bank Transfer
531,481,4,2021-07-28,143.75,Credit Card
532,801,1,2021-11-24,194.82,PayPal
533,874,1,2021-01-15,270.41,PayPal
534,389,3,2020-02-28,71.83,PayPal
535,611,2,2024-03-01,275.4,Bank Transfer
536,82,2,2024-04-28,11.76,PayPal
537,956,2,2020-05-18,132.97,Credit Card
538,973,1,2024-05-29,303.93,PayPal
539,463,2,2023-07-08,382.81,PayPal
540,729,1,2020-01-24,63.27,PayPal
541,495,4,2022-05-22,458.53,Credit Card
542,322,4,2023-10-02,430.15,PayPal
543,345,4,2022-10-20,224.75,Credit Card
544,577,1,2022-03-03,346.89,PayPal
545,800,2,2022-01-12,404.35,Credit Card
546,437,1,2020-09-01,372.86,Cash
547,496,4,2024-08-25,444.01,Credit Card
548,737,4,2024-07-17,55.22,Credit Card
549,144,1,2024-05-31,84.27,PayPal
550,804,4,2021-05-28,75.16,PayPal
551,856,3,2024-09-23,278.96,Bank Transfer
552,912,3,2024-07-18,376.44,Cash
553,678,3,2022-04-23,193.95,PayPal
554,842,3,2023-05-26,44.55,PayPal
555,521,4,2023-01-18,324.46,Bank Transfer
556,980,1,2022-12-04,428.45,PayPal
557,455,4,2020-04-05,207.93,Cash
558,630,2,2020-02-28,99.25,Credit Card
559,899,2,2024-10-15,397.24,Credit Card
560,676,2,2020-07-23,369.53,Cash
561,700,4,2021-03-14,450.02,Cash
562,348,2,2023-04-02,159.99,Cash
563,250,1,2024-10-20,18.08,Cash
564,16,4,2023-10-10,280.65,Credit Card
565,698,4,2020-07-29,234.49,Cash
566,25,1,2020-04-03,381.46,PayPal
567,36,1,2020-03-11,383.99,Bank Transfer
568,334,2,2021-01-05,28.92,Bank Transfer
569,800,4,2021-12-20,67.26,Cash
570,705,4,2024-01-23,306.3,PayPal
571,744,1,2022-10-25,352.17,Bank Transfer
572,491,2,2023-01-29,213.4,PayPal
573,653,2,2023-06-27,409.13,PayPal
574,63,1,2024-03-14,477.56,Cash
575,737,4,2024-10-23,289.37,Credit Card
576,993,4,2024-03-04,430.99,PayPal
577,657,4,2020-11-15,463.14,Bank Transfer
578,699,2,2021-07-21,54.69,Bank Transfer
579,913,3,2020-05-04,347.08,Credit Card
580,164,1,2020-08-02,140.46,PayPal
581,282,2,2021-06-02,392.68,Credit Card
582,893,4,2023-06-09,422.33,Bank Transfer
583,253,4,2024-09-20,36.77,Credit Card
584,558,3,2022-08-03,184.6,Cash
585,216,1,2020-10-16,258.64,Credit Card
586,506,4,2024-09-06,367.59,PayPal
587,762,4,2024-07-24,82.2,Cash
588,857,1,2021-10-04,32.05,Bank Transfer
589,116,1,2023-06-17,196.86,Credit Card
590,640,1,2023-12-08,478.18,PayPal
591,754,1,2021-04-23,348.37,PayPal
592,385,1,2023-01-05,248.47,PayPal
593,905,1,2024-07-20,420.71,Credit Card
594,751,2,2022-07-15,283.49,Credit Card
595,721,3,2021-08-20,74.18,Cash
596,494,2,2024-01-19,51.52,Cash
597,403,4,2024-11-13,64.98,PayPal
598,498,2,2021-04-25,240.77,Credit Card
599,626,3,2023-02-05,281.89,Bank Transfer
600,991,2,2023-05-18,270.2,Bank Transfer
601,665,2,2020-07-16,49.81,Cash
602,852,2,2023-08-02,49.29,Cash
603,506,1,2020-07-19,488.22,PayPal
604,707,1,2020-09-23,408.58,Bank Transfer
605,657,4,2021-07-15,72.7,Bank Transfer
606,521,3,2024-10-21,395.48,Bank Transfer
607,117,3,2024-11-10,443.45,Credit Card
608,32,4,2024-02-26,348.08,Bank Transfer
609,564,1,2023-01-08,465.2,Credit Card
610,975,3,2024-04-14,241.73,PayPal
611,173,3,2020-05-22,271.46,Cash
612,8,2,2022-04-26,205.62,Cash
613,746,3,2023-08-19,119.11,PayPal
614,783,2,2022-01-09,71.49,Cash
